id,title,description,availability,condition,price,link,image_link,brand,gtin,product_type,quantity_to_sell_on_facebook
"40767","Al Hambra Guitar 5 P CT E2","Al Hambra Guitar 5 P CT E2 by Alhambra. Electric Classical. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","6429.14 AED","https://www.akm-music.com/shop.html?product=40767","https://www.akm-music.com/assets/products/40767.webp","Alhambra","2721680007131","Electric Classical","25"
"20000","Alhambra 1 C Guitar","Alhambra 1 C Guitar by Alhambra. Classical Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","1993.32 AED","https://www.akm-music.com/shop.html?product=20000","https://www.akm-music.com/assets/products/20000.webp","Alhambra","2220080299080","Classical Guitar","0"
"20002","Alhambra 10 FP Pinana V Guitar 10 Fp Piñana with (9,557) Case","Alhambra 10 FP Pinana V Guitar 10 Fp Piñana with (9,557) Case by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","10039.00 AED","https://www.akm-music.com/shop.html?product=20002","https://www.akm-music.com/assets/products/20002.webp","Alhambra","2122822522725","Flamenco Guitar","25"
"20005","Alhambra 1735 Almansa Guitarra 400 Nature Abeto","Alhambra 1735 Almansa Guitarra 400 Nature Abeto by Alhambra. Classical Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","1539.00 AED","https://www.akm-music.com/shop.html?product=20005","https://www.akm-music.com/assets/products/20005.webp","Alhambra","1324173562172","Classical Guitar","25"
"20006","Alhambra 1755 Almansa Guitar 401 Spruce","Alhambra 1755 Almansa Guitar 401 Spruce by Alhambra. Classical Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2199.00 AED","https://www.akm-music.com/shop.html?product=20006","https://www.akm-music.com/assets/products/20006.webp","Alhambra","1023175561359","Classical Guitar","25"
"20009","Alhambra 2 F Guitar 2 F W/pick Guard","Alhambra 2 F Guitar 2 F W/pick Guard by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2311.06 AED","https://www.akm-music.com/shop.html?product=20009","https://www.akm-music.com/assets/products/20009.webp","Alhambra","2922820115062","Flamenco Guitar","25"
"20011","Alhambra 3 C 7/8 + Gig Bag (9731)","Alhambra 3 C 7/8 + Gig Bag (9731) by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2677.20 AED","https://www.akm-music.com/shop.html?product=20011","https://www.akm-music.com/assets/products/20011.webp","Alhambra","1623084613707","Flamenco Guitar","25"
"20015","Alhambra 3 F CW E1 Guitar","Alhambra 3 F CW E1 Guitar by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","3656.00 AED","https://www.akm-music.com/shop.html?product=20015","https://www.akm-music.com/assets/products/20015.webp","Alhambra","","Flamenco Guitar","25"
"20014","Alhambra 3 F Guitar 3 F Pure W/pick Guard","Alhambra 3 F Guitar 3 F Pure W/pick Guard by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2960.93 AED","https://www.akm-music.com/shop.html?product=20014","https://www.akm-music.com/assets/products/20014.webp","Alhambra","1823820629089","Flamenco Guitar","25"
"20016","Alhambra 4 F Guitar 4 F Pure W/pick Guard","Alhambra 4 F Guitar 4 F Pure W/pick Guard by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","3413.57 AED","https://www.akm-music.com/shop.html?product=20016","https://www.akm-music.com/assets/products/20016.webp","Alhambra","4521820921017","Flamenco Guitar","25"
"20018","Alhambra 5 F Guitar 5 F Pure W/pick Guard","Alhambra 5 F Guitar 5 F Pure W/pick Guard by Alhambra. Flamenco Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","4441.89 AED","https://www.akm-music.com/shop.html?product=20018","https://www.akm-music.com/assets/products/20018.webp","Alhambra","","Flamenco Guitar","25"
